billboard_id,track_id,Track Name,Artist Name(s),Release Date,Duration (ms),Explicit,Genres,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2019-01-001,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",ariana grande,2019-02-08,207320,true,pop,0.72,0.654,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,4
2019-01-002,5p7ujcrUXASCNwRaWNHR1C,without me,halsey,2018-10-04,201660,true,,0.752,0.488,-7.05,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,4
2019-01-003,0bYg9bo50gSsH3LtXe2SQn,all i want for christmas is you,mariah carey,1994-10-28,241562,false,christmas,0.336,0.627,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
2019-01-004,2xLMifQCjDGFmkHkpNLD9h,sicko mode,travis scott,2018-08-03,312820,true,rap,0.834,0.73,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
2019-01-006,1rqqCSm0Qe4I9rUvWncaom,high hopes,panic! at the disco,2018-06-22,190946,false,emo,0.579,0.904,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
2019-01-007,2dpaYNEQHiRxtZbfNsse99,happier,marshmello;bastille,2018-08-17,214289,false,edm,0.687,0.792,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,4
2019-01-008,7vQbuQcyTflfCIOu3Uzzya,jingle bell rock,bobby helms,1957-12-02,130973,false,christmas,0.754,0.424,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4
2019-01-009,2EjXfH91m7f8HiJN1yQg97,rockin' around the christmas tree,brenda lee,1964-10-19,126266,false,christmas,0.598,0.47,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
2019-01-010,77khP2fIVhSW23NwxrRluh,a holly jolly christmas,burl ives,1965-10-01,135533,false,christmas,0.682,0.375,-13.056,1,0.0303,0.579,0,0.076,0.888,140.453,4
2019-01-017,1xzBco0xcoJEDXktl7Jxrr,mo bamba,sheck wes,2018-10-05,183906,true,,0.729,0.625,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,4
2019-01-018,2G1tXoGBaEMJ7FKGnkf6ud,wake up in the sky,gucci mane;bruno mars;kodak black,2018-12-07,203161,true,"southern hip hop,rap,trap",0.8,0.578,-5.144,0,0.0485,0.00381,0,0.367,0.367,143.01,4
2019-01-019,2GGMabyHXnJmjY6CXhhB2e,money,cardi b,2018-10-23,183527,true,,0.95,0.59,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,4
2019-01-022,4OafepJy2teCjYJbvFE60J,breathin,ariana grande,2018-08-17,198160,true,pop,0.568,0.656,-5.413,1,0.0433,0.0211,0.0000137,0.213,0.364,100.049,4
2019-01-023,7dt6x5M1jzdTEt8oCbisTK,better now,post malone,2018-04-27,231266,true,,0.674,0.578,-5.804,1,0.0408,0.331,0,0.135,0.34,145.07,4
2019-01-024,2iUXsYOEPhVqEBwsqP70rE,youngblood,5 seconds of summer,2018-06-15,203417,false,,0.597,0.854,-5.114,0,0.463,0.0169,0,0.124,0.152,120.276,4
2019-01-025,2FRnf9qhLbvw8fu4IBXx78,last christmas,wham!,1984-11-29,262960,false,christmas,0.735,0.478,-12.472,1,0.0293,0.189,0.00000248,0.355,0.947,107.682,4
2019-01-027,0s3nnoMeVWz3989MkNQiRf,lucid dreams,juice wrld,2018-05-23,239835,true,"melodic rap,emo rap",0.511,0.566,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
2019-01-031,3gE4eQH3K83Sght0ZLvuBK,mia,bad bunny;drake,2018-12-23,210367,false,"reggaeton,trap latino,latin,urbano latino,rap",0.816,0.538,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,4
